time,key,value,table
2020-04-09T06:24:25Z,Gatineau,99,areas
2020-04-09T06:24:25Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-09T06:24:25Z,MRC de Papineau,11,areas
2020-04-09T06:24:25Z,MRC des Collines-de-l'Outaouais,10,areas
2020-04-09T06:24:25Z,MRC du Pontiac,5,areas
2020-04-09T06:24:25Z,Total cases,129,areas
2020-04-11T03:17:25Z,Gatineau,108,areas
2020-04-11T03:17:25Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-11T03:17:25Z,MRC de Papineau,12,areas
2020-04-11T03:17:25Z,MRC des Collines-de-l'Outaouais,10,areas
2020-04-11T03:17:25Z,MRC du Pontiac,5,areas
2020-04-11T03:17:25Z,To be determined,4,areas
2020-04-11T03:17:25Z,Total cases,141,areas
2020-04-14T19:15:39Z,Gatineau,134,areas
2020-04-14T19:15:39Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-14T19:15:39Z,MRC de Papineau,20,areas
2020-04-14T19:15:39Z,MRC des Collines-de-l'Outaouais,12,areas
2020-04-14T19:15:39Z,MRC du Pontiac,5,areas
2020-04-14T19:15:39Z,To be determined,0,areas
2020-04-14T19:15:39Z,Total cases,172,areas
2020-04-18T20:39:29Z,Gatineau,149,areas
2020-04-18T20:39:29Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-18T20:39:29Z,MRC de Papineau,25,areas
2020-04-18T20:39:29Z,MRC des Collines-de-l'Outaouais,12,areas
2020-04-18T20:39:29Z,MRC du Pontiac,5,areas
2020-04-18T20:39:29Z,To be determined,0,areas
2020-04-18T20:39:29Z,Total cases,192,areas
2020-04-20T16:59:06Z,Gatineau,166,areas
2020-04-20T16:59:06Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-20T16:59:06Z,MRC de Papineau,25,areas
2020-04-20T16:59:06Z,MRC des Collines-de-l'Outaouais,12,areas
2020-04-20T16:59:06Z,MRC du Pontiac,5,areas
2020-04-20T16:59:06Z,To be determined,0,areas
2020-04-20T16:59:06Z,Total cases,209,areas
2020-04-22T00:34:29Z,Gatineau,175,areas
2020-04-22T00:34:29Z,Healed/resolved cases,98,areas
2020-04-22T00:34:29Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-22T00:34:29Z,MRC de Papineau,26,areas
2020-04-22T00:34:29Z,MRC des Collines-de-l'Outaouais,12,areas
2020-04-22T00:34:29Z,MRC du Pontiac,5,areas
2020-04-22T00:34:29Z,To be determined,0,areas
2020-04-22T00:34:29Z,Total cases,219,areas
2020-04-23T20:59:30Z,Active cases,111,areas
2020-04-23T20:59:30Z,Gatineau,175,areas
2020-04-23T20:59:30Z,Healed/resolved cases,108,areas
2020-04-23T20:59:30Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-23T20:59:30Z,MRC de Papineau,26,areas
2020-04-23T20:59:30Z,MRC des Collines-de-l'Outaouais,12,areas
2020-04-23T20:59:30Z,MRC du Pontiac,5,areas
2020-04-23T20:59:30Z,To be determined,0,areas
2020-04-23T20:59:30Z,Total cases,219,areas
2020-04-26T04:25:48Z,Active cases,108,areas
2020-04-26T04:25:48Z,Gatineau,197,areas
2020-04-26T04:25:48Z,Healed/resolved cases,138,areas
2020-04-26T04:25:48Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-26T04:25:48Z,MRC de Papineau,27,areas
2020-04-26T04:25:48Z,MRC des Collines-de-l'Outaouais,12,areas
2020-04-26T04:25:48Z,MRC du Pontiac,5,areas
2020-04-26T04:25:48Z,To be determined,0,areas
2020-04-26T04:25:48Z,Total cases,246,areas
2020-04-27T04:28:11Z,Active cases,114,areas
2020-04-27T04:28:11Z,Gatineau,201,areas
2020-04-27T04:28:11Z,Healed/resolved cases,138,areas
2020-04-27T04:28:11Z,MRC de la Vallée-de-la-Gatineau,5,areas
2020-04-27T04:28:11Z,MRC de Papineau,27,areas
2020-04-27T04:28:11Z,MRC des Collines-de-l'Outaouais,12,areas
2020-04-27T04:28:11Z,MRC du Pontiac,5,areas
2020-04-27T04:28:11Z,To be determined,0,areas
2020-04-27T04:28:11Z,Total cases,252,areas
2020-05-02T22:42:16Z,Active cases,124,rls
2020-05-02T22:42:16Z,Blue Sea,5,areas
2020-05-02T22:42:16Z,Cantley,5,areas
2020-05-02T22:42:16Z,Fassett,5,areas
2020-05-02T22:42:16Z,Gatineau,221,areas
2020-05-02T22:42:16Z,Healed/resolved cases,169,rls
2020-05-02T22:42:16Z,L'Ange-Gardien,5,areas
2020-05-02T22:42:16Z,La Pêche,5,areas
2020-05-02T22:42:16Z,Lac-des-Plages,5,areas
2020-05-02T22:42:16Z,Maniwaki,5,areas
2020-05-02T22:42:16Z,MRC du Pontiac,5,areas
2020-05-02T22:42:16Z,Notre-Dame-de-Bonsecours,5,areas
2020-05-02T22:42:16Z,Papineauville,5,areas
2020-05-02T22:42:16Z,Ripon,5,areas
2020-05-02T22:42:16Z,RLS de Gatineau,232,rls
2020-05-02T22:42:16Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-02T22:42:16Z,RLS de Papineau,35,rls
2020-05-02T22:42:16Z,RLS des Collines-de-l'Outaouais,12,rls
2020-05-02T22:42:16Z,RLS du Pontiac,5,rls
2020-05-02T22:42:16Z,Saint-André-Avellin,7,areas
